domain,task,representation,readout,selected_projection_rank,kernel,bandwidth,bandwidth_reference,n_pairs,raw_statistic,null_mean,null_q95,null_sd,ratio_to_null_q95,standardized_z,p_value,detection,bidirectional_detection,fpr,fpr_gate_upper95_max,evidence_level,execution_status,reason
pure_lateral,LAT.LANE_CHANGE,B_seed3409,R_fixed_semantic,NOT_APPLICABLE,RBF,24.337548568067973,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0009648049395825145,0.0010671183097328404,0.0033228065511792886,0.0009686144792999562,0.2903584439004125,-0.10562857807398308,0.34844,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3407,R_full64,NOT_APPLICABLE,RBF,5.4962017920129,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0014451706954639403,0.0012033531501499267,0.0026310805279642305,0.0006758095975676119,0.5492688954610314,0.35781904575544415,0.26606,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3407,R_linear_task,8,RBF,0.18329881147815685,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0005765710446582146,0.0006487464786749421,0.0020389619669812357,0.0005824868214977814,0.28277675307100064,-0.12390912781707004,0.38938,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3407,R_fixed_semantic,NOT_APPLICABLE,RBF,24.313380860378444,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.001182518224756427,0.001106230351957055,0.0036149197278003004,0.0010672897899767738,0.3271215722059743,0.07147812479404697,0.26596,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3408,R_full64,NOT_APPLICABLE,RBF,5.306404469520171,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0014576288694373462,0.0012948940448198989,0.002687372889628679,0.0006751502784217482,0.542399186604413,0.24103496631573817,0.30554,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3408,R_linear_task,8,RBF,0.3127712980891206,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0007019134123450479,0.0007486637592651922,0.002647728381433174,0.000770917400700162,0.2651002335689408,-0.06064248501549538,0.40096,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3408,R_fixed_semantic,NOT_APPLICABLE,RBF,24.4623717263706,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.001180726796942952,0.0011223997261493948,0.0033163448263017403,0.0009707912651704552,0.35603257766764046,0.060081989698697866,0.2927,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3409,R_full64,NOT_APPLICABLE,RBF,5.448096578057113,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0011836000018956951,0.0011023680312752682,0.0022451972698612752,0.0005606972667469146,0.5271697136745702,0.14487670163210029,0.35156,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3409,R_linear_task,8,RBF,0.18134852508614152,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.0007051099848197657,0.00077552668552123,0.002378369461641693,0.0007102849001802869,0.29646780964512404,-0.09913867053008012,0.35328,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
pure_lateral,LAT.LANE_CHANGE,C_seed3409,R_fixed_semantic,NOT_APPLICABLE,RBF,24.292603189443867,treatment-label-blind Waymo R0_DEVELOPMENT reference bank positive off-diagonal median,80,0.00093799112162909,0.0010438656176685378,0.0032343603351803864,0.0009645777641004772,0.2900082317441531,-0.10976253027995274,0.29974,False,NOT_EVALUABLE_SINGLE_DIRECTION_CONTRAST,INCONCLUSIVE_INSUFFICIENT_INDEPENDENT_NULL_UNITS,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,COMPLETE,
longitudinal,NOT_AVAILABLE,ALL,R_full64/R_linear_task/R_fixed_semantic,NOT_EVALUABLE,RBF,,,0,,,,,,,,,,,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NOT_EVALUABLE,No frozen R0 paired development input/readout contract binds a Wave-1 longitudinal contrast.
following,NOT_AVAILABLE,ALL,R_full64/R_linear_task/R_fixed_semantic,NOT_EVALUABLE,RBF,,,0,,,,,,,,,,,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NOT_EVALUABLE,No frozen R0 paired development input/readout contract binds a Wave-1 following contrast.
interaction,NOT_AVAILABLE,ALL,R_full64/R_linear_task/R_fixed_semantic,NOT_EVALUABLE,RBF,,,0,,,,,,,,,,,0.075,DEVELOPMENT_DIAGNOSTIC_EVIDENCE,NOT_EVALUABLE,No frozen R0 paired development input/readout contract binds a Wave-1 interaction contrast.
