N_pair,bandwidth,bdd_over_null_q95,dose,exceedance_count,holm_p,holm_significant_0_05,multiplicity_role,null_mean,null_q95,null_reps,null_sd,null_seed,raw_mmd2,raw_p,raw_p_for_multiplicity,representation,status,task,z_bdd
38,5.320757225148767,0.920785172543701,dose75,8323,1.0,False,SECONDARY_HOLM_39,0.0024788455186170516,0.0049182495770644765,100000,0.0013020435459636243,2026083502,0.004528651285430298,0.08323916760832392,0.08323916760832392,B_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.574298934292719
38,5.457697638981307,0.8563292326513613,dose100,11033,1.0,False,SECONDARY_HOLM_39,0.003050748251901739,0.007481580447551315,100000,0.0022162156857522763,2026083602,0.006406696043671046,0.1103388966110339,0.1103388966110339,B_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.5142694880034469
80,5.971455281127032,0.18093932731320214,dose25,96976,1.0,False,SECONDARY_HOLM_39,0.0004899505251711774,0.0008834632522679278,100000,0.00023020043871011943,2026084301,0.00015985324657129266,0.9697603023969761,0.9697603023969761,C_seed3407,COMPUTED,LAT.LANE_CHANGE,-1.433955905772885
38,5.512919130549301,0.9739284960727882,dose25,8481,1.0,False,SECONDARY_HOLM_39,0.00022862642669208987,0.0003721558993804478,100000,8.245258372514094e-05,2026084302,0.0003624532353882154,0.08481915180848192,0.08481915180848192,C_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.6230759868270799
80,5.9939820416557374,0.28448775508625035,dose50,72403,1.0,False,SECONDARY_HOLM_39,0.0007285489415933611,0.001554315227392054,100000,0.00041301884544948356,2026084401,0.00044218364973714025,0.7240327596724033,0.7240327596724033,C_seed3407,COMPUTED,LAT.LANE_CHANGE,-0.6933467927948248
38,5.646076289507334,0.513029936090353,dose50,87130,1.0,False,SECONDARY_HOLM_39,0.0009468295618371575,0.0013354869902656374,100000,0.0002364682888638405,2026084402,0.0006851448052654777,0.8713012869871302,0.8713012869871302,C_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,-1.1066378406550699
80,5.9737996544798015,0.5997238872383929,dose75,20647,1.0,False,SECONDARY_HOLM_39,0.0010526883461383972,0.0023753099807981392,100000,0.0006041575173677506,2026084501,0.0014245301350804124,0.2064779352206478,0.2064779352206478,C_seed3407,COMPUTED,LAT.LANE_CHANGE,0.6154715918492414
38,5.559135838144605,0.9408057604463266,dose75,8343,1.0,False,SECONDARY_HOLM_39,0.0026169826675554843,0.005272694761561662,100000,0.0013784959476415921,2026084502,0.004960581604752382,0.08343916560834391,0.08343916560834391,C_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,1.7001130407430343
80,6.01401898497615,0.5453479320798916,dose100,26224,1.0,False,SECONDARY_HOLM_39,0.0010593495344720033,0.002369465004272228,100000,0.0006241961052042991,2026084601,0.001292182840215531,0.26224737752622473,0.26224737752622473,C_seed3407,COMPUTED,LAT.LANE_CHANGE,0.3730130704153008
38,5.709045022080713,1.038197396953674,dose100,3767,1.0,False,SECONDARY_HOLM_39,0.0032224048817957145,0.007706812391668662,100000,0.002153346126839237,2026084602,0.008001192563840723,0.03767962320376796,0.03767962320376796,C_seed3407,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,2.219238060468938
80,1.0512214424320854,12.5197366668701,dose25,0,0.00038999610003899964,True,SECONDARY_HOLM_39,6.376046293772576e-05,0.00016460185809709837,100000,5.07024444511965e-05,2026085301,0.0020607719182531917,9.99990000099999e-06,9.99990000099999e-06,ego13,COMPUTED,LAT.LANE_CHANGE,39.386887100437214
38,0.9182158930296114,6.275336338320718,dose25,0,0.00038999610003899964,True,SECONDARY_HOLM_39,0.00015066414186564768,0.000362221556621132,100000,0.00010794599122388148,2026085302,0.0022730620967876852,9.99990000099999e-06,9.99990000099999e-06,ego13,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,19.661665346331898
80,1.0574326265310134,12.63551225057967,dose50,0,0.00038999610003899964,True,SECONDARY_HOLM_39,0.0002777376331099105,0.000719243355248129,100000,0.0002239764943192239,2026085401,0.009088008226385759,9.99990000099999e-06,9.99990000099999e-06,ego13,COMPUTED,LAT.LANE_CHANGE,39.335692881767116
38,0.9190247473692004,6.261706943728427,dose50,0,0.00038999610003899964,True,SECONDARY_HOLM_39,0.0006653143787203676,0.0016169953447257425,100000,0.00048236919876045706,2026085402,0.010125150978045724,9.99990000099999e-06,9.99990000099999e-06,ego13,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,19.61119537407089
80,1.0681023732832333,12.858578933308234,dose75,0,0.00038999610003899964,True,SECONDARY_HOLM_39,0.0006686038754050675,0.0017679314204815406,100000,0.0005532578771679483,2026085501,0.02273308571893764,9.99990000099999e-06,9.99990000099999e-06,ego13,COMPUTED,LAT.LANE_CHANGE,39.881008032777856
38,0.9270746146069004,6.427174272796317,dose75,0,0.00038999610003899964,True,SECONDARY_HOLM_39,0.0016213894525916796,0.004015314930975225,100000,0.0012222314912876306,2026085502,0.025807128821538884,9.99990000099999e-06,9.99990000099999e-06,ego13,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,19.788182141721233
80,1.0818897452028375,13.087068295833081,dose100,0,0.00038999610003899964,True,SECONDARY_HOLM_39,0.0012679855120177423,0.0034150181340502324,100000,0.001080186136266226,2026085601,0.04469257555182384,9.99990000099999e-06,9.99990000099999e-06,ego13,COMPUTED,LAT.LANE_CHANGE,40.20102515841172
38,0.9445648349209433,6.624255835704656,dose100,0,0.00038999610003899964,True,SECONDARY_HOLM_39,0.0030594017719082823,0.007810316182941052,100000,0.0024015550055565835,2026085602,0.05173753255354578,9.99990000099999e-06,9.99990000099999e-06,ego13,LOW_N_SECONDARY_DIAGNOSTIC,LAT.DYNAMICS,20.269421549374787
