task_key,task_value,metric,n_A_valid,n_B_valid,mean_A,mean_B,delta_B_minus_A,effect_size
task_lane_change,lane_change,lc_oscillation_score,448,4068,3.6104910714285716,3.059734513274336,-0.5507565581542355,-0.16547342065486087
task_lane_change,lane_change,lc_target_front_gap_min,178,520,21.42596332678634,10.238748171696296,-11.187215155090046,-1.0204386569810193
task_lane_change,lane_change,lc_target_rear_gap_min,169,751,22.87973800213379,13.09832867976035,-9.781409322373442,-0.7522012795387117
task_lane_change,lane_change,lc_gap_acceptance_score,262,1089,0.08063936266998477,0.14629903344779957,0.0656596707778148,0.7247867839137815
task_lane_change,lane_change,lc_sharpness_score,448,4068,0.0887801570474346,0.5000078281454621,0.4112276710980275,2.191826458391539
task_cutin_response,cutin_response,cutin_gap_initial,564,117,13.294207922955776,7.836768229802449,-5.457439693153327,-0.8252102912543969
task_cutin_response,cutin_response,cutin_gap_min,564,117,12.886423931054189,7.424975759962685,-5.461448171091504,-1.1214388729352618
task_cutin_response,cutin_response,cutin_min_ttc,564,117,1.8778681410542617,0.825328571578631,-1.0525395694756305,-1.5628332807038365
task_cutin_response,cutin_response,cutin_min_thw,564,117,3.1390078029734023,1.2411285345243592,-1.897879268449043,-1.4102239785555095
task_cutin_response,cutin_response,cutin_reaction_delay_to_brake,16,16,1.6187500000000001,1.33125,-0.2875000000000001,-0.17621270676980616
task_cutin_response,cutin_response,cutin_peak_decel_after_cutin,564,117,0.7907896229093202,1.55204532910616,0.7612557061968398,0.6898142541690505
task_cutin_response,cutin_response,cutin_jerk_after_cutin,564,117,3.660323127043639,7.7451502062436575,4.084827079200018,0.8237152883373845
task_cutin_response,cutin_response,cutin_speed_drop_after_cutin,564,117,0.20384176880352822,0.4078029896151222,0.20396122081159396,0.18675860037833822
task_cutin_response,cutin_response,cutin_yielding_response_score,564,117,3.882287556357464,2.2782906391092728,-1.6039969172481912,-0.8155986315584081
task_cutin_response,cutin_response,cutin_late_response_score,16,16,1.6187500000000001,1.33125,-0.2875000000000001,-0.17621270676980616
task_hesitation,hesitation,hesitation_score,965,1461,10.218730569948187,9.71129363449692,-0.5074369354512669,-0.07473313028586012
task_hesitation,hesitation,hesitation_lc_duration,203,831,2.06551724137931,3.8463297232250304,1.7808124818457203,0.7753873822084052
task_hesitation,hesitation,hesitation_yaw_sign_change_count,965,1461,14.90362694300518,13.053388090349076,-1.8502388526561049,-0.21180402717490182
task_hesitation,hesitation,hesitation_lateral_velocity_sign_change_count,965,1461,5.804145077720207,6.880219028062971,1.0760739503427637,0.16001018863601937
task_hesitation,hesitation,hesitation_lc_oscillation_score,965,1461,10.353886010362695,9.966803559206022,-0.3870824511566724,-0.05576435261124404
task_hesitation,hesitation,hesitation_abort_like_score,965,1461,0.3461139896373057,0.20602327173169063,-0.1400907179056151,-0.3225037333437729
task_hesitation,hesitation,hesitation_speed_drop,965,1461,3.7919332645891806,2.228543827484655,-1.5633894371045254,-0.4413900433639953
task_hesitation,hesitation,hesitation_evidence_count,965,1461,2.250777202072539,2.182751540041068,-0.06802566203147098,-0.16198032289864156
task_yield_conflict,yield_conflict,yield_conflict_score,1514,1144,3.5319005516573427,6.060717164944708,2.5288166132873653,0.9753336754736681
task_yield_conflict,yield_conflict,yielding_score,1514,1144,2.742345713429305,2.4432011442533033,-0.29914456917600196,-0.12028118679998501
task_yield_conflict,yield_conflict,assertiveness_score,1514,1144,0.9254373253122293,2.9193452243672953,1.993907899055066,1.5060643927577226
task_yield_conflict,yield_conflict,gap_pressure_score,1514,1144,0.21368557979656982,0.23203720812579387,0.018351628329224046,0.1762798058094109
task_yield_conflict,yield_conflict,conflict_accel_score,1514,1144,1.1443430298399253,4.2307461052117015,3.086403075371776,1.817223059723529
task_yield_conflict,yield_conflict,small_gap_speed_maintain_score,1514,1144,5.936813092518758,8.389376660006123,2.452563567487365,0.4693949483138776
task_yield_conflict,yield_conflict,rear_pressure_response_score,1070,709,7.937876673888798,13.978681080917626,6.040804407028828,0.8854223342342884
task_yield_conflict,yield_conflict,courtesy_score,1514,1144,1.75700194902068,1.5514550267936043,-0.20554692222707582,-0.12396916798816562
