experiment,task_key,task_value,metric,n_A_valid,n_B_valid,mean_A,mean_B,delta_B_minus_A,effect_size,abs_effect_size
scene,task_cutin_response,cutin_response,cutin_min_ttc,564,117,1.8778681410542617,0.825328571578631,-1.0525395694756303,-1.5628332807038363,1.5628332807038363
scene,task_yield_conflict,yield_conflict,assertiveness_score,1514,1144,0.9254373253122292,2.9193452243672953,1.993907899055066,1.5060643927577226,1.5060643927577226
scene,task_cutin_response,cutin_response,cutin_min_thw,564,117,3.1390078029734023,1.2411285345243592,-1.897879268449043,-1.4102239785555095,1.4102239785555095
scene,task_lane_change,lane_change,lc_heading_change_total,448,4068,0.1720994631094592,1.31616949860041,1.1440700354909508,1.2173850451045507,1.2173850451045507
scene,task_lane_change,lane_change,lc_rms_curvature,448,4068,0.0034024569027691,0.0477169941986297,0.0443145372958605,1.1539408370963715,1.1539408370963715
scene,task_cutin_response,cutin_response,cutin_gap_min,564,117,12.886423931054187,7.424975759962685,-5.461448171091504,-1.1214388729352618,1.1214388729352618
scene,task_lane_change,lane_change,lc_target_front_gap_min,178,520,21.42596332678634,10.238748171696296,-11.187215155090046,-1.020438656981019,1.020438656981019
scene,task_lane_change,lane_change,lc_duration,431,3966,2.2415313225058004,4.177660110943016,1.9361287884372156,0.9760987130726404,0.9760987130726404
scene,task_yield_conflict,yield_conflict,yield_conflict_score,1514,1144,3.5319005516573427,6.060717164944708,2.5288166132873653,0.975333675473668,0.975333675473668
scene,task_lead_brake_response,lead_brake_response,lead_brake_max_jerk_after_lead_brake,1548,559,19.099820442964297,36.88136307952939,17.7815426365651,0.9681902366807392,0.9681902366807392
scene,task_following,following,following_max_abs_jerk,2150,621,19.78888773206145,36.991066782946746,17.202179050885295,0.9484689671409952,0.9484689671409952
scene,task_queue_approach,queue_approach,queue_rms_jerk,1840,606,6.132383753000728,11.244705322930846,5.112321569930118,0.9265828139706204,0.9265828139706204
scene,task_queue_approach,queue_approach,queue_stop_smoothness_score,1840,606,-4.05201189604874,-7.253504056092601,-3.201492160043861,-0.8935477236666509,0.8935477236666509
scene,task_yield_conflict,yield_conflict,rear_pressure_response_score,1070,709,7.937876673888798,13.978681080917626,6.040804407028828,0.8854223342342884,0.8854223342342884
scene,task_cutin_response,cutin_response,cutin_gap_initial,564,117,13.294207922955776,7.836768229802449,-5.457439693153327,-0.8252102912543969,0.8252102912543969
